id;start_date;end_date;curr;mean_raw_ret_port;mean_raw_ret_bm;mean_raw_ret_smi;mean_raw_ret_EuroStoxx;mean_raw_ret_SP500;ret_vola_port;ret_vola_bm;ret_vola_smi;ret_vola_EuroStoxx;ret_vola_SP500;SR_port;SR_bm;SR_smi;SR_EuroStoxx;SR_SP500;bm_adj_ret_port;res_risk_port;market_port;market_smi;market_EuroStoxx;market_SP500;size_port;size_smi;size_EuroStoxx;size_SP500;value_port;value_smi;value_EuroStoxx;value_SP500;mom_port;mom_smi;mom_EuroStoxx;mom_SP500;div_port;div_smi;div_Eurostoxx;div_SP500;turnover;temperament;activity;conviction;dispo_eff
1;01.01.2012;15.09.2017;EUR;0.05;0.04;0.045;0.06;0.03;0.1;0.08;0.12;0.11;0.2;0.5;0.6;0.44;0.95;0.67;0.03;0.06;0.6;0.8;0.85;0.75;0.5175;0.9;0.6;0.7;0.5;0.4;0.7;0.3;0.2;0.4;0.3;0.1;0.6;0.9;0.8;0.85;1.5;10;50;83;41
2;18.09.2011;02.05.2017;CHF;0.0685;0.02;0.0441;0.0762;0.0321;0.065;0.0472;0.072;0.1298;0.186;0.625;0.348;0.2508;1.292;0.871;0.0231;0.054;0.468;0.64;0.561;0.555;0.39;1.278;0.342;0.511;0.485;0.372;0.959;0.288;0.168;0.292;0.447;0.146;0.462;1.197;0.64;1.2325;0.99;25;23;83;22
3;08.06.2011;27.11.2017;USD;0.0275;0.0572;0.0675;0.0606;0.0384;0.073;0.088;0.06;0.1474;0.288;0.295;0.384;0.5544;0.988;0.4087;0.0243;0.072;0.858;0.48;1.1305;0.4275;1.02;1.089;0.378;0.511;0.29;0.464;0.392;0.402;0.112;0.4;0.345;0.116;0.414;0.549;1.152;0.833;1.035;30;83;86;59
4;14.08.2011;28.03.2018;EUR;0.0345;0.0436;0.0459;0.09;0.0249;0.082;0.1168;0.162;0.1078;0.276;0.475;0.438;0.6204;1.3205;0.4355;0.0414;0.0546;0.672;1.136;0.6545;1.0275;1.0575;0.522;0.576;0.595;0.27;0.576;0.35;0.351;0.248;0.508;0.24;0.055;0.528;0.675;1.088;0.5865;1.215;61;94;80;13
5;29.03.2013;19.02.2017;CHF;0.0385;0.0596;0.0234;0.0876;0.0264;0.069;0.1096;0.1224;0.1034;0.262;0.3;0.804;0.4268;0.7315;0.5025;0.042;0.0486;0.612;1;0.6375;1.095;0.84;0.486;0.654;0.406;0.585;0.496;0.658;0.246;0.234;0.356;0.402;0.096;0.57;0.531;1.152;0.5695;0.885;8;65;46;25
6;17.11.2011;15.10.2016;USD;0.063;0.0516;0.0486;0.0312;0.0372;0.098;0.0528;0.1596;0.143;0.21;0.255;0.528;0.2596;0.9025;0.6566;0.021;0.036;0.318;1.192;1.037;0.645;0.75;1.314;0.72;0.616;0.405;0.512;0.861;0.336;0.112;0.416;0.297;0.135;0.672;1.134;0.608;0.9435;2.115;60;31;4;20
7;28.02.2011;07.12.2018;EUR;0.041;0.0572;0.0495;0.0768;0.0192;0.137;0.0728;0.0684;0.1364;0.1;0.57;0.714;0.4488;1.2635;0.4221;0.0411;0.0636;0.84;0.912;1.2495;0.39;1.005;0.729;0.33;0.497;0.45;0.216;0.385;0.411;0.14;0.516;0.225;0.127;0.642;0.963;0.488;0.901;2.025;19;68;51;18
8;07.06.2011;29.07.2017;CHF;0.038;0.0348;0.0477;0.057;0.0213;0.113;0.076;0.1716;0.1276;0.13;0.72;0.762;0.4796;0.9785;0.5628;0.0429;0.078;0.822;0.752;0.697;0.7125;0.8625;0.864;0.738;0.959;0.63;0.576;0.889;0.252;0.168;0.492;0.267;0.056;0.558;0.846;0.656;1.2495;1.065;18;90;15;18
9;24.07.2012;03.07.2018;USD;0.0615;0.06;0.05895;0.063;0.0279;0.102;0.064;0.1716;0.1309;0.186;0.595;0.564;0.4312;0.532;0.603;0.0255;0.0684;0.522;0.904;0.4335;0.9;1.0425;1.035;0.534;0.896;0.685;0.548;0.763;0.249;0.12;0.54;0.408;0.092;0.432;0.522;0.48;1.02;1.905;72;77;22;81
10;23.03.2013;11.06.2017;EUR;0.071;0.0576;0.0315;0.078;0.0183;0.108;0.1024;0.1416;0.1177;0.244;0.695;0.378;0.2992;1.2825;0.8241;0.0417;0.0606;0.744;1.152;1.258;0.9525;0.4875;1.08;0.78;0.924;0.54;0.444;0.805;0.186;0.146;0.264;0.306;0.09;0.486;0.765;0.744;1.0285;1.515;42;40;28;3
11;27.02.2012;22.11.2016;CHF;0.0305;0.026;0.0567;0.0528;0.0387;0.113;0.072;0.102;0.1518;0.138;0.46;0.36;0.4796;0.608;0.4288;0.0444;0.0438;0.582;0.832;0.952;0.7425;0.4725;1.188;0.36;0.385;0.3;0.404;0.798;0.27;0.158;0.6;0.342;0.117;0.588;1.035;1.056;1.19;1.635;13;5;37;98
12;18.09.2010;07.05.2017;USD;0.0255;0.0264;0.0675;0.0888;0.0327;0.083;0.0624;0.126;0.0572;0.184;0.415;0.81;0.3256;0.5225;0.5561;0.0282;0.066;0.474;0.976;1.2155;0.5025;0.72;1.071;0.522;0.749;0.57;0.296;0.854;0.45;0.112;0.296;0.309;0.133;0.348;1.143;0.696;1.2155;0.99;42;22;95;99
13;24.07.2012;04.03.2017;EUR;0.074;0.0444;0.0387;0.0432;0.0177;0.07;0.0616;0.0948;0.0979;0.168;0.345;0.84;0.5104;0.684;0.8911;0.0153;0.0864;0.792;1.176;0.748;0.93;0.93;1.08;0.396;0.476;0.69;0.588;0.945;0.237;0.272;0.544;0.447;0.07;0.744;1.269;0.64;0.9775;1.815;15;54;4;56
14;29.07.2012;07.08.2018;CHF;0.0565;0.0428;0.04815;0.0804;0.0153;0.058;0.1176;0.0612;0.1606;0.176;0.41;0.474;0.264;0.6555;0.5494;0.0315;0.066;0.762;0.456;0.714;0.54;0.54;0.981;0.648;0.476;0.51;0.472;0.399;0.237;0.222;0.284;0.288;0.065;0.75;0.927;0.584;0.731;1.83;10;93;32;84
15;04.09.2010;30.07.2016;USD;0.0525;0.0416;0.04635;0.0888;0.03;0.072;0.1008;0.1248;0.0913;0.296;0.635;0.48;0.6116;1.425;0.7705;0.0174;0.0624;0.72;0.656;1.003;0.6525;0.6525;1.044;0.48;0.854;0.665;0.44;0.406;0.204;0.152;0.576;0.165;0.099;0.336;0.837;1.032;0.9775;1.035;32;52;80;91
